Reference,Assay,Assay
15694996,Positive,
15694996,Positive,
15448372,Positive,
15448372,Positive,
15104676,Positive,
15104676,Positive,
15104676,Positive,
15496958,Positive,
15496958,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15305339,Positive,
15365188,Positive,
15365188,Positive,
15365188,Positive,
15365188,Positive,15
15647119,Positive,1
15647119,Positive,5
15102666,Positive,4
15102666,Positive,4
15102666,Positive,6
15102666,Positive,6
15102666,Positive,6
15102666,Positive,6
15603888,Positive,5
15529349,Positive,3
15048720,Positive,
15683221,Positive,
15683221,Positive,
15683221,Positive,
15534491,Positive,19
15480991,Positive,2
15480991,Positive,2
15480991,Positive,2
15480991,Positive,2
15480991,Positive,2
15480991,Positive,2
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15501984,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15529349,Positive,14
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,8
15039371,Positive,
15039371,Positive,
15039371,Positive,
15039371,Positive,
15039371,Positive,
15039371,Positive,
15039371,Positive,
15039371,Positive,
15039371,Positive,
15514011,Positive,12
15609329,Positive,1
15609329,Positive,1
15609329,Positive,1
15016646,Positive,11
15016646,Positive,11
15016646,Positive,
15016646,Positive,
15016646,Positive,
14764717,Positive,
14764717,Positive,
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15534491,Positive,44
15104676,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
15684323,Positive,
12010981,Positive,
12010981,Positive,
12010981,Positive,
12010981,Positive,
12010981,Positive,
12010981,Positive,
12356679,Positive,
12356679,Positive,
15647119,Positive,1
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
15762882,Positive,10
12668642,Positive,1
12668642,Positive,3
12668642,Positive,3
12668642,Positive,1
12668642,Positive,3
12668642,Positive,3
15048720,Positive,
15048720,Positive,
15048720,Positive,
15048720,Positive,
15048720,Positive,
15048720,Positive,
15048720,Positive,
15048720,Positive,
11836437,Positive,
11836437,Positive,
11836437,Positive,
11836437,Positive,
11836437,Positive,
11836437,Positive,
12972510,Positive,4
12972510,Positive,8
12972510,Positive,2
12972510,Positive,7
12972510,Positive,2
12972510,Positive,7
12972510,Positive,4
12972510,Positive,4
15603888,Positive,5
12594271,Positive,1
12594271,Positive,2
12594271,Positive,1
12594271,Positive,1
15448372,Positive,
15448372,Positive,
15609329,Positive,1
15609329,Positive,1
15609329,Positive,1
15368525,Positive,22
10364497,Positive,
10364497,Positive,
11752149,Positive,9
11752149,Positive,11
11035787,Positive,2
11035787,Positive,
11035787,Positive,2
11035787,Positive,3
11035787,Positive,
11035787,Positive,
11035787,Positive,
15368525,Positive,22
15368525,Positive,22
11086086,Positive,
11086086,Positive,
10773346,Positive,6
